sample_id	file_name
TCGA-A6-5660-01A-01T-1652-13	e0d1f328-f212-45f4-a28a-db89aa584697.mirbase21.isoforms.quantification.txt
TCGA-D5-6536-01A-11H-1722-13	9115c717-eaf9-4f4e-8df1-8d47a0c32058.mirbase21.isoforms.quantification.txt
TCGA-D5-5539-01A-01T-1652-13	9bdc38ab-0bb7-45cc-812c-bf03d8b933c6.mirbase21.isoforms.quantification.txt
TCGA-D5-6930-01A-11H-1927-13	ab76a6e6-052e-4f4b-b75c-1f002cba8a30.mirbase21.isoforms.quantification.txt
TCGA-DM-A28M-01A-12H-A16S-13	a2be229d-5238-4654-9a8b-a53a697a8cae.mirbase21.isoforms.quantification.txt
TCGA-F4-6704-01A-11H-1838-13	8ad984bf-421a-43c8-912e-a50bc605bb4e.mirbase21.isoforms.quantification.txt
TCGA-AZ-6600-01A-11H-1773-13	e02fe9b4-e28a-4fc0-af23-df1f3ff9270a.mirbase21.isoforms.quantification.txt
TCGA-F4-6856-01A-11H-1927-13	fd8a7dc0-6189-49e3-a8b4-a27a0de400b3.mirbase21.isoforms.quantification.txt
TCGA-A6-5661-01B-05R-2303-13	ebef6f65-58cd-4c90-acfd-c33194bd85f9.mirbase21.isoforms.quantification.txt
TCGA-A6-5661-01A-01T-1652-13	396140d2-65c9-446d-a546-b36aa78fc4bd.mirbase21.isoforms.quantification.txt
TCGA-AA-3663-01A-01T-1722-13	6912a25b-9d65-4b7d-8629-5deeed732cc2.mirbase21.isoforms.quantification.txt
TCGA-A6-2684-01A-01T-1409-13	a394837d-2894-472e-9f65-663242e4e39f.mirbase21.isoforms.quantification.txt
TCGA-A6-2684-11A-01R-1757-13	09646c79-7d00-409e-9989-7c65f8e9eeea.mirbase21.isoforms.quantification.txt
TCGA-CK-4951-01A-01T-1409-13	5be076c9-7bca-44a8-a6be-0f6476cb0bf2.mirbase21.isoforms.quantification.txt
